Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
HQ,18,45.49,0,1364,57,282.38,11,1329,0,0,0,0,
Region 1,18,21.26,0,219,35,44.33,19,184,0,0,0,0,
Region 2,53,77.87,2,343,130,136,36,242,0,0,0,0,
Region 3,18,17.92,0,96,34,41.18,21,138,0,0,0,0,
Region 4,15,14.65,0,79,30,32.59,7,116,0,0,0,0,
Region 5,18,20.18,0,107,63,80.74,29,244,55,55,55,55,
Region 6,22,31.5,0,196,73,98.56,24,274,0,0,0,0,
Region 7,15,20.29,1,151,77,114,32,233,0,0,0,0,
Region 8,11,15.81,0,883,55,107,30,362,0,0,0,0,
Region 9,21,22.56,0,110,48.5,48.83,26,84,0,0,0,0,
Region 10,16,23.09,0,205,56,56,10,120,0,0,0,0,
Total,18,32,0,1364,36,60,7,1329,55,55,55,55,
