Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ARC,Date of Receipt,,,,2012-09-28,2012-08-30,2012-08-29,2012-08-27,2012-08-27,2012-08-03,2012-08-03
ARC,Number of Days Pending,,,,0,20,21,23,23,39,39
DFRC,Date of Receipt,,,,,,,,,,2012-05-14
DFRC,Number of Days Pending,,,,,,,,,,96
GRC,Date of Receipt,,,,,,,2012-09-19,2012-09-10,2012-08-13,2012-08-07
GRC,Number of Days Pending,,,,,,,7,14,33,37
GSFC,Date of Receipt,,,,2012-09-27,2012-09-25,2012-09-18,2012-08-28,2012-08-22,2012-08-13,2012-07-16
GSFC,Number of Days Pending,,,,1,3,8,22,26,33,53
HQ,Date of Receipt,2012-09-05,2012-08-27,2012-08-24,2012-08-22,2012-08-20,2012-08-09,2012-08-08,2012-07-10,2012-04-26,2012-04-17
HQ,Number of Days Pending,17,23,24,26,28,35,36,57,108,115
JSC,Date of Receipt,2012-08-28,2012-08-28,2012-08-22,2012-08-13,2012-08-01,2012-07-10,2012-06-28,2012-06-18,2012-04-30,2012-04-17
JSC,Number of Days Pending,22,22,26,33,41,57,64,72,106,115
KSC,Date of Receipt,,,,2012-09-27,2012-09-11,2012-08-29,2012-08-28,2012-07-30,2012-07-02,2012-04-18
KSC,Number of Days Pending,,,,1,13,21,22,43,62,114
LaRC,Date of Receipt,,,,,,,,2012-09-05,2012-08-29,2012-08-09
LaRC,Number of Days Pending,,,,,,,,17,21,35
MSFC,Date of Receipt,,,,,,,,,,2012-09-06
MSFC,Number of Days Pending,,,,,,,,,,16
NSSC,Date of Receipt,,,,,,,,,,2011-10-14
NSSC,Number of Days Pending,,,,,,,,,,241
OIG,Date of Receipt,,,,,,,,,,2012-09-05
OIG,Number of Days Pending,,,,,,,,,,17
